利用日,車両クラス,使用モデル,価格変更リードタイム,実績売上,予測売上,売上差額
2025-04-06,SUV1,ALLDATA1_SUV1,5,51480,38276,13203
2025-04-06,SUV2,ALLDATA1_SUV2,5,12375,13390,-1015
2025-04-06,SUV3,ALLDATA1_SUV3,5,36630,32702,3927
2025-04-06,W1,ALLDATA1_W1,36,108108,94762,13345
2025-04-06,W2,ALLDATA1_W2,5,188100,156995,31104
2025-04-07,C1,ALLDATA1_C1,6,226512,90085,136426
2025-04-06,W3,ALLDATA1_W3,5,41250,43584,-2334
2025-04-07,C2,ALLDATA1_C2,6,120428,119142,1285
2025-04-07,C3,ALLDATA1_C3,6,118580,93197,25382
2025-04-07,SUV1,ALLDATA1_SUV1,6,40040,36391,3648
2025-04-07,SUV2,ALLDATA1_SUV2,6,11550,11555,-5
2025-04-07,W1,ALLDATA1_W1,37,77220,35000,42219
2025-04-07,W2,ALLDATA1_W2,6,102410,74370,28039
2025-04-07,W3,ALLDATA1_W3,6,44000,46489,-2489
2025-04-08,C1,ALLDATA1_C1,7,240240,154084,86155
2025-04-08,C2,ALLDATA1_C2,7,106260,96844,9415
2025-04-08,C3,ALLDATA1_C3,7,127050,93197,33852
2025-04-08,SUV1,ALLDATA1_SUV1,7,8008,11080,-3072
2025-04-08,SUV2,ALLDATA1_SUV2,7,11550,11555,-5
2025-04-08,W1,ALLDATA1_W1,38,61776,19711,42064
2025-04-08,W2,ALLDATA1_W2,7,73150,55487,17662
2025-04-09,C1,ALLDATA1_C1,8,267696,209064,58631
2025-04-09,C2,ALLDATA1_C2,8,92092,96844,-4752
2025-04-09,C3,ALLDATA1_C3,8,118580,82009,36570
2025-04-09,SUV1,ALLDATA1_SUV1,8,8008,11080,-3072
2025-04-09,SUV2,ALLDATA1_SUV2,8,11550,11555,-5
2025-04-09,SUV3,ALLDATA1_SUV3,8,18315,32702,-14387
2025-04-09,W1,ALLDATA1_W1,39,61776,19711,42064
2025-04-09,W2,ALLDATA1_W2,8,43890,29938,13951
2025-04-10,C1,ALLDATA1_C1,9,302016,192914,109101
2025-04-10,C2,ALLDATA1_C2,9,106260,108737,-2477
2025-04-10,C3,ALLDATA1_C3,9,118580,82009,36570
2025-04-10,SUV1,ALLDATA1_SUV1,9,8008,13940,-5932
2025-04-10,SUV2,ALLDATA1_SUV2,9,34650,36133,-1483
2025-04-10,SUV3,ALLDATA1_SUV3,9,18315,32702,-14387
2025-04-10,W1,ALLDATA1_W1,40,30888,19711,11176
2025-04-10,W2,ALLDATA1_W2,9,58520,42806,15713
2025-04-11,C1,ALLDATA1_C1,10,329472,192914,136557
2025-04-11,C2,ALLDATA1_C2,10,148764,116534,32229
2025-04-11,C3,ALLDATA1_C3,10,135520,93197,42322
2025-04-11,SUV1,ALLDATA1_SUV1,10,8008,13940,-5932
2025-04-11,SUV2,ALLDATA1_SUV2,10,34650,36133,-1483
2025-04-11,SUV3,ALLDATA1_SUV3,10,36630,54067,-17437
2025-04-11,W1,ALLDATA1_W1,41,46332,35000,11331
2025-04-11,W2,ALLDATA1_W2,10,87780,82202,5577
2025-04-11,W3,ALLDATA1_W3,10,44000,46489,-2489
2025-04-12,C1,ALLDATA1_C1,11,384384,237284,147099
2025-04-12,C3,ALLDATA1_C3,11,118580,103250,15329
2025-04-12,C2,ALLDATA1_C2,11,120428,74294,46133
2025-04-12,SUV1,ALLDATA1_SUV1,11,16016,11080,4935
2025-04-12,SUV2,ALLDATA1_SUV2,11,34650,36133,-1483
2025-04-12,SUV3,ALLDATA1_SUV3,11,18315,32702,-14387
2025-04-12,W1,ALLDATA1_W1,42,30888,35000,-4112
2025-04-12,W2,ALLDATA1_W2,11,146300,146802,-502
2025-04-12,W3,ALLDATA1_W3,11,44000,46489,-2489
2025-04-13,C1,ALLDATA1_C1,12,391248,268888,122359
2025-04-13,C2,ALLDATA1_C2,12,120428,75803,44624
2025-04-13,C3,ALLDATA1_C3,12,143990,129034,14955
2025-04-13,SUV1,ALLDATA1_SUV1,12,16016,11080,4935
2025-04-13,SUV2,ALLDATA1_SUV2,12,23100,23421,-321
2025-04-13,SUV3,ALLDATA1_SUV3,12,18315,32702,-14387
2025-04-13,W1,ALLDATA1_W1,43,46332,35000,11331
2025-04-13,W2,ALLDATA1_W2,12,190190,183581,6608
2025-04-13,W3,ALLDATA1_W3,12,88000,90082,-2082
2025-04-14,C1,ALLDATA1_C1,13,356928,268888,88039
2025-04-14,C2,ALLDATA1_C2,13,92092,65520,26571
2025-04-14,C3,ALLDATA1_C3,13,101640,93197,8442
2025-04-14,SUV1,ALLDATA1_SUV1,13,24024,11080,12943
2025-04-14,W1,ALLDATA1_W1,44,30888,19711,11176
2025-04-14,W2,ALLDATA1_W2,13,160930,119509,41420
2025-04-14,W3,ALLDATA1_W3,13,44000,46489,-2489
