利用日,車両クラス,使用モデル,価格変更リードタイム,実績売上,予測売上,売上差額
2025-04-01,C1,ALLDATA1_C1,0,211497,140269,71227
2025-04-01,SUV1,ALLDATA1_SUV1,0,17160,14816,2343
2025-04-01,C3,ALLDATA1_C3,0,90750,85899,4850
2025-04-01,C2,ALLDATA1_C2,0,37950,39563,-1613
2025-04-01,SUV2,ALLDATA1_SUV2,0,24750,25094,-344
2025-04-01,W2,ALLDATA1_W2,0,62700,70340,-7640
2025-04-01,W1,ALLDATA1_W1,31,30888,35000,-4112
2025-04-01,W3,ALLDATA1_W3,0,61875,65221,-3346
2025-04-02,C1,ALLDATA1_C1,1,167739,117129,50609
2025-04-02,C3,ALLDATA1_C3,1,72600,45502,27097
2025-04-02,C2,ALLDATA1_C2,1,45540,58241,-12701
2025-04-02,SUV1,ALLDATA1_SUV1,1,17160,14816,2343
2025-04-02,SUV2,ALLDATA1_SUV2,1,24750,25094,-344
2025-04-02,W2,ALLDATA1_W2,1,172425,196694,-24269
2025-04-02,W1,ALLDATA1_W1,32,77220,83265,-6045
2025-04-02,W3,ALLDATA1_W3,1,61875,65221,-3346
2025-04-03,C1,ALLDATA1_C1,2,255255,239842,15412
2025-04-03,C2,ALLDATA1_C2,2,45540,58241,-12701
2025-04-03,C3,ALLDATA1_C3,2,127050,97887,29162
2025-04-03,SUV1,ALLDATA1_SUV1,2,17160,14816,2343
2025-04-03,SUV2,ALLDATA1_SUV2,2,24750,25094,-344
2025-04-03,SUV3,ALLDATA1_SUV3,2,36630,32702,3927
2025-04-03,W1,ALLDATA1_W1,33,77220,83265,-6045
2025-04-03,W3,ALLDATA1_W3,2,123750,125299,-1549
2025-04-03,W2,ALLDATA1_W2,2,219450,236882,-17432
2025-04-04,C1,ALLDATA1_C1,3,299013,225626,73386
2025-04-04,C2,ALLDATA1_C2,3,129030,126132,2897
2025-04-04,C3,ALLDATA1_C3,3,172425,139652,32772
2025-04-04,SUV1,ALLDATA1_SUV1,3,34320,20909,13410
2025-04-04,SUV2,ALLDATA1_SUV2,3,12375,13390,-1015
2025-04-04,SUV3,ALLDATA1_SUV3,3,36630,32702,3927
2025-04-04,W1,ALLDATA1_W1,34,92664,94762,-2098
2025-04-04,W2,ALLDATA1_W2,3,282150,267265,14884
2025-04-04,W3,ALLDATA1_W3,3,144375,140438,3936
2025-04-05,C1,ALLDATA1_C1,4,320892,225626,95265
2025-04-05,C2,ALLDATA1_C2,4,159390,123543,35846
2025-04-05,C3,ALLDATA1_C3,4,190575,139652,50922
2025-04-05,SUV1,ALLDATA1_SUV1,4,51480,30761,20718
2025-04-05,SUV2,ALLDATA1_SUV2,4,12375,13390,-1015
2025-04-05,SUV3,ALLDATA1_SUV3,4,36630,32702,3927
2025-04-05,W1,ALLDATA1_W1,35,92664,94762,-2098
2025-04-05,W2,ALLDATA1_W2,4,235125,213099,22025
2025-04-05,W3,ALLDATA1_W3,4,103125,105077,-1952
2025-04-06,C1,ALLDATA1_C1,5,284427,165584,118842
2025-04-06,C2,ALLDATA1_C2,5,136620,122130,14489
2025-04-06,C3,ALLDATA1_C3,5,199650,146742,52907
