Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Gradient Boosting Regressor,0.3941,0.4602,0.6473,0.7089,0.2996,0.2635,1.154
Light Gradient Boosting Machine,0.409,0.5381,0.7101,0.617,0.3146,0.3034,0.37
Extreme Gradient Boosting,0.4712,0.6295,0.7593,0.5902,0.3373,0.3361,0.216
