Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Gradient Boosting Regressor,1.0373,2.5752,1.5248,0.6894,0.4156,0.4972,1.3
Light Gradient Boosting Machine,1.1118,3.2741,1.7326,0.5728,0.4381,0.5812,0.36
Extreme Gradient Boosting,1.2221,3.6093,1.8178,0.5175,0.4688,0.6303,0.166
