Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Gradient Boosting Regressor,0.5826,0.9904,0.9584,0.7154,0.3301,0.3258,1.366
Light Gradient Boosting Machine,0.5835,1.0308,0.9885,0.69,0.3414,0.3422,0.372
Extreme Gradient Boosting,0.6783,1.2381,1.0759,0.6379,0.3674,0.3908,0.208
