利用日,車両クラス,使用モデル,価格変更リードタイム,実績売上,予測売上,売上差額
2025-04-10,C1,貸渡実績情報_1_C1,9,440440,280265,160174
2025-04-10,C2,貸渡実績情報_1_C2,9,186450,186723,-273
2025-04-10,C3,貸渡実績情報_1_C3,99,215600,151446,64153
2025-04-10,SUV1,貸渡実績情報_1_SUV1,9,13090,17785,-4695
2025-04-10,SUV2,貸渡実績情報_1_SUV2,9,43560,46788,-3228
2025-04-10,SUV3,貸渡実績情報_1_SUV3,68,26070,23976,2093
2025-04-10,W1,貸渡実績情報_1_W1,40,31680,21205,10474
2025-04-10,W2,貸渡実績情報_1_W2,9,94600,82131,12468
2025-04-11,C1,貸渡実績情報_1_C1,10,480480,280265,200214
2025-04-11,C2,貸渡実績情報_1_C2,10,261030,213928,47101
2025-04-11,C3,貸渡実績情報_1_C3,100,246400,171174,75225
2025-04-11,SUV1,貸渡実績情報_1_SUV1,10,13090,17785,-4695
2025-04-11,SUV2,貸渡実績情報_1_SUV2,10,43560,46788,-3228
2025-04-11,SUV3,貸渡実績情報_1_SUV3,69,52140,49297,2842
2025-04-11,W1,貸渡実績情報_1_W1,41,47520,34723,12796
2025-04-11,W2,貸渡実績情報_1_W2,10,141900,145790,-3890
2025-04-11,W3,貸渡実績情報_1_W3,10,61160,64182,-3022
2025-04-12,C1,貸渡実績情報_1_C1,11,560560,341295,219264
2025-04-12,C2,貸渡実績情報_1_C2,11,211310,135562,75747
2025-04-12,C3,貸渡実績情報_1_C3,101,215600,190162,25437
2025-04-12,SUV1,貸渡実績情報_1_SUV1,11,26180,18036,8143
2025-04-12,SUV2,貸渡実績情報_1_SUV2,11,43560,46788,-3228
2025-04-12,SUV3,貸渡実績情報_1_SUV3,70,26070,23976,2093
2025-04-12,W1,貸渡実績情報_1_W1,42,31680,34723,-3043
2025-04-12,W2,貸渡実績情報_1_W2,11,236500,238188,-1688
2025-04-12,W3,貸渡実績情報_1_W3,11,61160,64182,-3022
2025-04-13,C1,貸渡実績情報_1_C1,12,570570,392470,178099
2025-04-13,C2,貸渡実績情報_1_C2,12,211310,138262,73047
2025-04-13,C3,貸渡実績情報_1_C3,102,261800,225540,36259
2025-04-13,SUV1,貸渡実績情報_1_SUV1,12,26180,18036,8143
2025-04-13,SUV2,貸渡実績情報_1_SUV2,12,29040,31385,-2345
2025-04-13,SUV3,貸渡実績情報_1_SUV3,71,26070,23976,2093
2025-04-13,W1,貸渡実績情報_1_W1,43,47520,34723,12796
2025-04-13,W2,貸渡実績情報_1_W2,12,307450,297666,9783
2025-04-13,W3,貸渡実績情報_1_W3,12,122320,130439,-8119
2025-04-14,C1,貸渡実績情報_1_C1,13,520520,392470,128049
2025-04-14,C2,貸渡実績情報_1_C2,13,161590,123591,37998
2025-04-14,C3,貸渡実績情報_1_C3,103,184800,171174,13625
2025-04-14,SUV1,貸渡実績情報_1_SUV1,13,39270,18036,21233
2025-04-14,W1,貸渡実績情報_1_W1,44,31680,21205,10474
2025-04-14,W2,貸渡実績情報_1_W2,13,260150,196166,63983
2025-04-14,W3,貸渡実績情報_1_W3,13,61160,64182,-3022
