利用日,実績売上,予測売上（価格変更影響なし時は実績値）,売上差額
2025-04-01,673987.0,579607.0,94380.0
2025-04-02,788250.0,857853.0,-69602.0
2025-04-03,1146399.0,1155777.0,-9378.0
2025-04-04,1536943.0,1533077.0,3867.0
2025-04-05,1582852.0,1456962.0,125889.0
2025-04-06,1441128.0,1209271.0,231858.0
