利用日,車両クラス,使用モデル,価格変更リードタイム,利用台数累積実績（価格変更時）,利用台数累積実績,利用台数累積（予測）,追加実績予約数（価格変更後）,追加予測予約数（価格が変更されなかった場合）,変更前価格,変更後価格,実績売上（変更前）,実績売上（変更後）,予測売上（変更後）,実績売上,予測売上（価格変更影響なし時は実績値）,売上差額
2025-04-05,C1,貸渡実績情報_1_C1,33,25.0,43,31.0,18.0,13.0,8508.5,10010.0,215716.0,180180.0,306306.0,395896.0,326326.0,69570.0
2025-04-05,SUV2,貸渡実績情報_1_SUV2,0,,1,1.0,,,,,18150.0,0.0,0.0,18150.0,18150.0,0.0
2025-04-05,C2,貸渡実績情報_1_C2,33,14.0,21,17.0,7.0,8.0,9322.5,12430.0,155375.0,87010.0,158483.0,242385.0,229955.0,12430.0
2025-04-05,W1,貸渡実績情報_1_W1,0,,6,6.0,,,,,95040.0,0.0,0.0,95040.0,95040.0,0.0
2025-04-05,C3,貸渡実績情報_1_C3,34,13.0,21,15.0,8.0,5.0,11550.0,15400.0,161700.0,123200.0,161700.0,284900.0,219450.0,65450.0
2025-04-05,SUV1,貸渡実績情報_1_SUV1,65,2.0,6,4.0,4.0,3.0,9817.5,13090.0,22908.0,52360.0,52360.0,75268.0,52361.0,22907.0
2025-04-05,SUV3,貸渡実績情報_1_SUV3,54,1.0,2,1.0,1.0,0.0,19552.5,26070.0,19553.0,26070.0,19553.0,45623.0,19553.0,26070.0
2025-04-05,W2,貸渡実績情報_1_W2,30,11.0,15,14.0,4.0,5.0,17737.5,23650.0,201025.0,94600.0,212850.0,295625.0,289712.0,5912.0
2025-04-05,W3,貸渡実績情報_1_W3,107,3.0,5,5.0,2.0,4.0,30580.0,22935.0,84095.0,45870.0,183480.0,129965.0,206415.0,-76450.0
2025-04-06,C1,貸渡実績情報_1_C1,34,18.0,39,22.0,21.0,12.0,8508.5,10010.0,159159.0,210210.0,374374.0,369369.0,261261.0,108108.0
2025-04-06,SUV2,貸渡実績情報_1_SUV2,0,,1,1.0,,,,,18150.0,0.0,0.0,18150.0,18150.0,0.0
2025-04-06,C2,貸渡実績情報_1_C2,34,13.0,18,17.0,5.0,8.0,9322.5,12430.0,146053.0,62150.0,149160.0,208203.0,220633.0,-12430.0
2025-04-06,W1,貸渡実績情報_1_W1,0,,7,7.0,,,,,110880.0,0.0,0.0,110880.0,110880.0,0.0
2025-04-06,C3,貸渡実績情報_1_C3,35,14.0,22,16.0,8.0,5.0,11550.0,15400.0,180950.0,123200.0,103950.0,304150.0,238700.0,65450.0
2025-04-06,W3,貸渡実績情報_1_W3,0,,2,2.0,,,,,61160.0,0.0,0.0,61160.0,61160.0,0.0
2025-04-06,SUV1,貸渡実績情報_1_SUV1,66,2.0,6,6.0,4.0,5.0,9817.5,13090.0,22908.0,52360.0,91630.0,75268.0,71996.0,3272.0
2025-04-06,SUV3,貸渡実績情報_1_SUV3,55,1.0,2,1.0,1.0,0.0,19552.5,26070.0,19553.0,26070.0,19553.0,45623.0,19553.0,26070.0
2025-04-06,W2,貸渡実績情報_1_W2,31,8.0,12,10.0,4.0,3.0,17737.5,23650.0,153725.0,94600.0,165550.0,248325.0,206938.0,41388.0
