利用日,実績売上,予測売上,売上差額
2025-04-01,537570,476202,61365
2025-04-02,639309,605962,33344
2025-04-03,926805,914028,12773
2025-04-04,1202982,1060876,142099
2025-04-05,1202256,978612,223638
2025-04-06,1058640,814165,244468
2025-04-07,740740,506229,234505
2025-04-08,628034,441958,186071
2025-04-09,621907,492903,129000
2025-04-10,677237,528952,148281
2025-04-11,871156,670476,200675
2025-04-12,913561,723034,190523
2025-04-13,1037619,849591,188022
2025-04-14,810502,624394,186102
